时间,CPU负载,内存使用量(KB),内存使用率(%)
16:35:21,1.62,954080,24.3660
16:35:22,1.62,954584,24.3789
16:35:23,1.62,955340,24.3982
16:35:24,1.63,954940,24.3880
16:35:25,1.63,955192,24.3944
16:35:26,1.63,956200,24.4201
16:35:27,1.63,955592,24.4046
16:35:28,1.63,955844,24.4110
16:35:29,1.63,956600,24.4304
16:35:30,1.63,956600,24.4304
16:35:31,1.63,956452,24.4266
16:35:32,1.63,956616,24.4308
16:35:33,1.64,956600,24.4304
16:35:35,1.64,956704,24.4330
16:35:36,1.64,956852,24.4368
16:35:37,1.64,956852,24.4368
16:35:38,1.64,956096,24.4175
16:35:39,1.64,956348,24.4239
16:35:40,1.64,956600,24.4304
16:35:41,1.64,956852,24.4368
16:35:42,1.64,956348,24.4239
16:35:43,1.64,957060,24.4421
16:35:44,1.65,957208,24.4459
16:35:45,1.65,956852,24.4368
16:35:46,1.65,957608,24.4561
16:35:47,1.65,957356,24.4497
16:35:49,1.64,957104,24.4432
16:35:50,1.64,956956,24.4394
16:35:51,1.64,956852,24.4368
16:35:52,1.64,957104,24.4432
16:35:53,1.64,957356,24.4497
16:35:54,1.63,957356,24.4497
16:35:55,1.63,957608,24.4561
16:35:56,1.63,957608,24.4561
16:35:57,1.63,957460,24.4523
16:35:58,1.63,957208,24.4459
16:35:59,1.62,957816,24.4614
16:36:00,1.62,957208,24.4459
16:36:01,1.62,957208,24.4459
16:36:03,1.62,957356,24.4497
16:36:04,1.61,957356,24.4497
16:36:05,1.61,957964,24.4652
16:36:06,1.61,957608,24.4561
16:36:07,1.61,957964,24.4652
16:36:08,1.61,958216,24.4716
16:36:09,1.60,958320,24.4743
16:36:10,1.60,958468,24.4781
16:36:11,1.60,958112,24.4690
16:36:12,1.60,958172,24.4705
16:36:13,1.60,958364,24.4754
16:36:14,1.59,958468,24.4781
16:36:15,1.59,958616,24.4818
16:36:16,1.59,958468,24.4781
16:36:18,1.59,959224,24.4974
16:36:19,1.58,959476,24.5038
16:36:20,1.58,959876,24.5140
16:36:21,1.58,959980,24.5167
16:36:22,1.58,959624,24.5076
16:36:23,1.58,959372,24.5011
16:36:24,1.58,959120,24.4947
16:36:25,1.58,958720,24.4845
16:36:26,1.58,958868,24.4883
16:36:27,1.58,959120,24.4947
16:36:28,1.58,958972,24.4909
16:36:29,1.59,959876,24.5140
16:36:30,1.59,959980,24.5167
16:36:32,1.59,960484,24.5295
16:36:33,1.59,960484,24.5295
16:36:34,1.60,960128,24.5205
16:36:35,1.60,960380,24.5269
16:36:36,1.60,960884,24.5398
16:36:37,1.60,960988,24.5424
16:36:38,1.60,960736,24.5360
16:36:39,1.61,961240,24.5489
16:36:40,1.61,961492,24.5553
16:36:41,1.61,961640,24.5591
16:36:42,1.61,961848,24.5644
16:36:43,1.61,961952,24.5670
16:36:44,1.63,961744,24.5617
16:36:46,1.63,962396,24.5784
16:36:47,1.63,962396,24.5784
16:36:48,1.63,962396,24.5784
16:36:49,1.64,961892,24.5655
16:36:50,1.64,961492,24.5553
16:36:51,1.64,962204,24.5735
16:36:52,1.64,961388,24.5526
16:36:53,1.64,962100,24.5708
16:36:54,1.64,961640,24.5591
16:36:55,1.64,962248,24.5746
16:36:56,1.64,961744,24.5617
16:36:57,1.64,961388,24.5526
16:36:58,1.64,961640,24.5591
16:36:59,1.66,961892,24.5655
