时间,CPU负载,内存使用量(KB),内存使用率(%)
13:22:37,1.68,823756,21.0377
13:22:38,1.67,823904,21.0415
13:22:39,1.67,824112,21.0468
13:22:40,1.67,824260,21.0506
13:22:41,1.67,823904,21.0415
13:22:43,1.67,824156,21.0479
13:22:44,1.66,824512,21.0570
13:22:45,1.66,824008,21.0441
13:22:46,1.66,824408,21.0543
13:22:47,1.66,824512,21.0570
13:22:48,1.65,824616,21.0597
13:22:49,1.65,824408,21.0543
13:22:50,1.65,824008,21.0441
13:22:51,1.65,824008,21.0441
13:22:52,1.65,824260,21.0506
13:22:53,1.64,824364,21.0532
13:22:54,1.64,824260,21.0506
13:22:55,1.64,824512,21.0570
13:22:56,1.64,824912,21.0672
13:22:57,1.64,824156,21.0479
13:22:59,1.62,824408,21.0543
13:23:00,1.62,823904,21.0415
13:23:01,1.62,824644,21.0604
13:23:02,1.62,824008,21.0441
13:23:03,1.63,824512,21.0570
13:23:04,1.63,823860,21.0403
13:23:05,1.63,824512,21.0570
13:23:06,1.63,824660,21.0608
13:23:07,1.63,824156,21.0479
13:23:08,1.64,824408,21.0543
13:23:09,1.64,824408,21.0543
13:23:10,1.64,824660,21.0608
13:23:11,1.64,824408,21.0543
13:23:12,1.64,825268,21.0763
13:23:13,1.64,825016,21.0699
13:23:14,1.64,825164,21.0736
13:23:16,1.64,824912,21.0672
13:23:17,1.64,825016,21.0699
13:23:18,1.64,824660,21.0608
13:23:19,1.68,824408,21.0543
13:23:20,1.68,824408,21.0543
13:23:21,1.68,824512,21.0570
13:23:22,1.68,824764,21.0634
13:23:23,1.69,824408,21.0543
13:23:24,1.69,824512,21.0570
13:23:25,1.69,824008,21.0441
13:23:26,1.69,824008,21.0441
13:23:27,1.69,824512,21.0570
13:23:28,1.69,824660,21.0608
13:23:29,1.69,824408,21.0543
13:23:30,1.69,824260,21.0506
13:23:32,1.69,825016,21.0699
13:23:33,1.69,824764,21.0634
13:23:34,1.72,824616,21.0597
13:23:35,1.72,824764,21.0634
13:23:36,1.72,825164,21.0736
13:23:37,1.72,825668,21.0865
13:23:38,1.72,825016,21.0699
13:23:39,1.72,824616,21.0597
13:23:40,1.72,825016,21.0699
13:23:41,1.72,824780,21.0638
13:23:42,1.72,824660,21.0608
13:23:43,1.71,824912,21.0672
13:23:44,1.71,824912,21.0672
13:23:45,1.71,824660,21.0608
13:23:46,1.71,824972,21.0687
13:23:48,1.71,824408,21.0543
13:23:49,1.70,824364,21.0532
13:23:50,1.70,825016,21.0699
13:23:51,1.70,824972,21.0687
13:23:52,1.70,825016,21.0699
13:23:53,1.68,825416,21.0801
13:23:54,1.68,825016,21.0699
13:23:55,1.68,824868,21.0661
13:23:56,1.68,824912,21.0672
13:23:57,1.68,825016,21.0699
13:23:58,1.67,825016,21.0699
13:23:59,1.67,824912,21.0672
13:24:00,1.67,823252,21.0248
13:24:01,1.67,823000,21.0184
13:24:02,1.67,822852,21.0146
13:24:04,1.66,823400,21.0286
13:24:05,1.66,823504,21.0313
13:24:06,1.66,823400,21.0286
13:24:07,1.66,824156,21.0479
13:24:08,1.65,823400,21.0286
13:24:09,1.65,823904,21.0415
13:24:10,1.65,823356,21.0275
13:24:11,1.65,823120,21.0214
13:24:12,1.65,823876,21.0408
13:24:13,1.64,823772,21.0381
13:24:14,1.64,823772,21.0381
13:24:15,1.64,823520,21.0317
13:24:16,1.64,823668,21.0354
13:24:17,1.64,823624,21.0343
13:24:18,1.63,823772,21.0381
13:24:19,1.63,823876,21.0408
13:24:21,1.63,824172,21.0483
13:24:22,1.63,823668,21.0354
13:24:23,1.63,823920,21.0419
13:24:24,1.65,824024,21.0445
13:24:25,1.65,823668,21.0354
13:24:26,1.65,823668,21.0354
13:24:27,1.65,823520,21.0317
13:24:28,1.66,824024,21.0445
13:24:29,1.66,823772,21.0381
13:24:30,1.66,823668,21.0354
13:24:31,1.66,823772,21.0381
13:24:32,1.66,823920,21.0419
13:24:33,1.66,824276,21.0510
13:24:34,1.66,824128,21.0472
13:24:35,1.66,824024,21.0445
13:24:37,1.66,823284,21.0256
13:24:38,1.66,823980,21.0434
13:24:39,1.67,823624,21.0343
13:24:40,1.67,823668,21.0354
13:24:41,1.67,824128,21.0472
13:24:42,1.67,823772,21.0381
13:24:43,1.68,824024,21.0445
13:24:44,1.68,823876,21.0408
13:24:45,1.68,823772,21.0381
13:24:46,1.68,824380,21.0536
13:24:47,1.68,823520,21.0317
13:24:48,1.68,824024,21.0445
13:24:49,1.68,823416,21.0290
13:24:50,1.68,823520,21.0317
13:24:51,1.68,823164,21.0226
13:24:53,1.68,823164,21.0226
13:24:54,1.69,823328,21.0268
13:24:55,1.69,823416,21.0290
13:24:56,1.69,823624,21.0343
13:24:57,1.69,823920,21.0419
13:24:58,1.69,823520,21.0317
13:24:59,1.69,823772,21.0381
13:25:00,1.69,823640,21.0347
13:25:01,1.69,824188,21.0487
13:25:02,1.69,823848,21.0400
13:25:03,1.68,823684,21.0358
13:25:04,1.68,823936,21.0423
13:25:05,1.68,823936,21.0423
13:25:06,1.68,823848,21.0400
13:25:07,1.68,823936,21.0423
13:25:09,1.69,823684,21.0358
13:25:10,1.69,823788,21.0385
13:25:11,1.69,823936,21.0423
13:25:12,1.69,823996,21.0438
13:25:13,1.69,824292,21.0514
13:25:14,1.69,824188,21.0487
13:25:15,1.69,824188,21.0487
13:25:16,1.69,823892,21.0412
13:25:17,1.69,823432,21.0294
13:25:18,1.68,823788,21.0385
13:25:19,1.68,823432,21.0294
13:25:20,1.68,824440,21.0552
13:25:21,1.68,824544,21.0578
13:25:22,1.68,824292,21.0514
13:25:23,1.67,824396,21.0540
13:25:24,1.67,824292,21.0514
13:25:26,1.67,824544,21.0578
13:25:27,1.67,824440,21.0552
13:25:28,1.67,824292,21.0514
13:25:29,1.66,823936,21.0423
13:25:30,1.66,824040,21.0449
13:25:31,1.66,824040,21.0449
13:25:32,1.66,824144,21.0476
13:25:33,1.66,824796,21.0642
13:25:34,1.66,824188,21.0487
13:25:35,1.66,824188,21.0487
13:25:36,1.66,823892,21.0412
13:25:37,1.66,824188,21.0487
13:25:38,1.65,823788,21.0385
13:25:39,1.65,824040,21.0449
13:25:40,1.65,824440,21.0552
13:25:42,1.65,824188,21.0487
13:25:43,1.65,823936,21.0423
13:25:44,1.66,824188,21.0487
13:25:45,1.66,824292,21.0514
13:25:46,1.66,824944,21.0680
13:25:47,1.66,824692,21.0616
13:25:48,1.66,824692,21.0616
13:25:49,1.66,824188,21.0487
13:25:50,1.66,824544,21.0578
13:25:51,1.66,824440,21.0552
13:25:52,1.66,824188,21.0487
13:25:53,1.67,824544,21.0578
13:25:54,1.67,824440,21.0552
13:25:55,1.67,824692,21.0616
