时间,CPU负载,内存使用量(KB),内存使用率(%)
16:35:21,1.63 1.62 1.68,954080,24
16:35:22,1.63 1.62 1.68,954584,24
16:35:23,1.63 1.62 1.68,955340,24
16:35:24,1.66 1.63 1.68,954940,24
16:35:25,1.66 1.63 1.68,955192,24
16:35:26,1.66 1.63 1.68,956200,25
16:35:27,1.66 1.63 1.68,955592,24
16:35:28,1.66 1.63 1.68,955844,24
16:35:29,1.69 1.63 1.68,956600,25
16:35:30,1.69 1.63 1.68,956600,25
16:35:31,1.69 1.63 1.68,956452,25
16:35:32,1.69 1.63 1.68,956616,25
16:35:33,1.72 1.64 1.68,956600,25
16:35:35,1.72 1.64 1.68,956704,25
16:35:36,1.72 1.64 1.68,956852,25
16:35:37,1.72 1.64 1.68,956852,25
16:35:38,1.72 1.64 1.68,956096,25
16:35:39,1.74 1.64 1.69,956348,25
16:35:40,1.74 1.64 1.69,956600,25
16:35:41,1.74 1.64 1.69,956852,25
16:35:42,1.74 1.64 1.69,956348,25
16:35:43,1.74 1.64 1.69,957060,25
16:35:44,1.76 1.65 1.69,957208,25
16:35:45,1.76 1.65 1.69,956852,25
16:35:46,1.76 1.65 1.69,957608,25
16:35:47,1.76 1.65 1.69,957356,25
16:35:49,1.70 1.64 1.68,957104,25
16:35:50,1.70 1.64 1.68,956956,25
16:35:51,1.70 1.64 1.68,956852,25
16:35:52,1.70 1.64 1.68,957104,25
16:35:53,1.70 1.64 1.68,957356,25
16:35:54,1.64 1.63 1.68,957356,25
16:35:55,1.64 1.63 1.68,957608,25
16:35:56,1.64 1.63 1.68,957608,25
16:35:57,1.64 1.63 1.68,957460,25
16:35:58,1.64 1.63 1.68,957208,25
16:35:59,1.59 1.62 1.68,957816,25
16:36:00,1.59 1.62 1.68,957208,25
16:36:01,1.59 1.62 1.68,957208,25
16:36:03,1.59 1.62 1.68,957356,25
16:36:04,1.54 1.61 1.67,957356,25
16:36:05,1.54 1.61 1.67,957964,25
16:36:06,1.54 1.61 1.67,957608,25
16:36:07,1.54 1.61 1.67,957964,25
16:36:08,1.54 1.61 1.67,958216,25
16:36:09,1.50 1.60 1.67,958320,25
16:36:10,1.50 1.60 1.67,958468,25
16:36:11,1.50 1.60 1.67,958112,25
16:36:12,1.50 1.60 1.67,958172,25
16:36:13,1.50 1.60 1.67,958364,25
16:36:14,1.46 1.59 1.66,958468,25
16:36:15,1.46 1.59 1.66,958616,25
16:36:16,1.46 1.59 1.66,958468,25
16:36:18,1.46 1.59 1.66,959224,25
16:36:19,1.42 1.58 1.66,959476,25
16:36:20,1.42 1.58 1.66,959876,25
16:36:21,1.42 1.58 1.66,959980,25
16:36:22,1.42 1.58 1.66,959624,25
16:36:23,1.42 1.58 1.66,959372,25
16:36:24,1.47 1.58 1.66,959120,25
16:36:25,1.47 1.58 1.66,958720,25
16:36:26,1.47 1.58 1.66,958868,25
16:36:27,1.47 1.58 1.66,959120,25
16:36:28,1.47 1.58 1.66,958972,25
16:36:29,1.51 1.59 1.66,959876,25
16:36:30,1.51 1.59 1.66,959980,25
16:36:32,1.51 1.59 1.66,960484,25
16:36:33,1.51 1.59 1.66,960484,25
16:36:34,1.55 1.60 1.67,960128,25
16:36:35,1.55 1.60 1.67,960380,25
16:36:36,1.55 1.60 1.67,960884,25
16:36:37,1.55 1.60 1.67,960988,25
16:36:38,1.55 1.60 1.67,960736,25
16:36:39,1.59 1.61 1.67,961240,25
16:36:40,1.59 1.61 1.67,961492,25
16:36:41,1.59 1.61 1.67,961640,25
16:36:42,1.59 1.61 1.67,961848,25
16:36:43,1.59 1.61 1.67,961952,25
16:36:44,1.70 1.63 1.68,961744,25
16:36:46,1.70 1.63 1.68,962396,25
16:36:47,1.70 1.63 1.68,962396,25
16:36:48,1.70 1.63 1.68,962396,25
16:36:49,1.72 1.64 1.68,961892,25
16:36:50,1.72 1.64 1.68,961492,25
16:36:51,1.72 1.64 1.68,962204,25
16:36:52,1.72 1.64 1.68,961388,25
16:36:53,1.72 1.64 1.68,962100,25
16:36:54,1.75 1.64 1.68,961640,25
16:36:55,1.75 1.64 1.68,962248,25
16:36:56,1.75 1.64 1.68,961744,25
16:36:57,1.75 1.64 1.68,961388,25
16:36:58,1.75 1.64 1.68,961640,25
16:36:59,1.85 1.66 1.69,961892,25
16:37:01,1.85 1.66 1.69,961996,25
16:37:02,1.85 1.66 1.69,961744,25
16:37:03,1.85 1.66 1.69,961640,25
16:37:04,1.78 1.65 1.68,961892,25
16:37:05,1.78 1.65 1.68,962500,25
16:37:06,1.78 1.65 1.68,962500,25
16:37:07,1.78 1.65 1.68,962248,25
16:37:08,1.78 1.65 1.68,962500,25
16:37:09,1.72 1.64 1.68,962396,25
16:37:10,1.72 1.64 1.68,962144,25
16:37:11,1.72 1.64 1.68,962144,25
16:37:12,1.72 1.64 1.68,962144,25
16:37:13,1.82 1.67 1.69,962396,25
16:37:15,1.82 1.67 1.69,962648,25
16:37:16,1.82 1.67 1.69,962396,25
16:37:17,1.82 1.67 1.69,962648,25
16:37:18,1.82 1.67 1.69,962144,25
16:37:19,1.83 1.67 1.69,962396,25
16:37:20,1.83 1.67 1.69,963404,25
16:37:21,1.83 1.67 1.69,962752,25
16:37:22,1.83 1.67 1.69,962396,25
16:37:23,1.83 1.67 1.69,962248,25
16:37:24,1.77 1.66 1.68,962144,25
16:37:25,1.77 1.66 1.68,962144,25
16:37:26,1.77 1.66 1.68,962648,25
