时间,CPU负载,内存使用量(KB),内存使用率(%)
16:35:21,1.62,954080,24
16:35:22,1.62,954584,24
16:35:23,1.62,955340,24
16:35:24,1.63,954940,24
16:35:25,1.63,955192,24
16:35:26,1.63,956200,25
16:35:27,1.63,955592,24
16:35:28,1.63,955844,24
16:35:29,1.63,956600,25
16:35:30,1.63,956600,25
16:35:31,1.63,956452,25
16:35:32,1.63,956616,25
16:35:33,1.64,956600,25
16:35:35,1.64,956704,25
16:35:36,1.64,956852,25
16:35:37,1.64,956852,25
16:35:38,1.64,956096,25
16:35:39,1.64,956348,25
16:35:40,1.64,956600,25
16:35:41,1.64,956852,25
16:35:42,1.64,956348,25
16:35:43,1.64,957060,25
16:35:44,1.65,957208,25
16:35:45,1.65,956852,25
16:35:46,1.65,957608,25
16:35:47,1.65,957356,25
16:35:49,1.64,957104,25
16:35:50,1.64,956956,25
16:35:51,1.64,956852,25
16:35:52,1.64,957104,25
16:35:53,1.64,957356,25
16:35:54,1.63,957356,25
16:35:55,1.63,957608,25
16:35:56,1.63,957608,25
16:35:57,1.63,957460,25
16:35:58,1.63,957208,25
16:35:59,1.62,957816,25
16:36:00,1.62,957208,25
16:36:01,1.62,957208,25
16:36:03,1.62,957356,25
16:36:04,1.61,957356,25
16:36:05,1.61,957964,25
16:36:06,1.61,957608,25
16:36:07,1.61,957964,25
16:36:08,1.61,958216,25
16:36:09,1.60,958320,25
16:36:10,1.60,958468,25
16:36:11,1.60,958112,25
16:36:12,1.60,958172,25
16:36:13,1.60,958364,25
16:36:14,1.59,958468,25
16:36:15,1.59,958616,25
16:36:16,1.59,958468,25
16:36:18,1.59,959224,25
16:36:19,1.58,959476,25
16:36:20,1.58,959876,25
16:36:21,1.58,959980,25
16:36:22,1.58,959624,25
16:36:23,1.58,959372,25
16:36:24,1.58,959120,25
16:36:25,1.58,958720,25
16:36:26,1.58,958868,25
16:36:27,1.58,959120,25
16:36:28,1.58,958972,25
16:36:29,1.59,959876,25
16:36:30,1.59,959980,25
16:36:32,1.59,960484,25
16:36:33,1.59,960484,25
16:36:34,1.60,960128,25
16:36:35,1.60,960380,25
16:36:36,1.60,960884,25
16:36:37,1.60,960988,25
16:36:38,1.60,960736,25
16:36:39,1.61,961240,25
16:36:40,1.61,961492,25
16:36:41,1.61,961640,25
16:36:42,1.61,961848,25
16:36:43,1.61,961952,25
16:36:44,1.63,961744,25
16:36:46,1.63,962396,25
16:36:47,1.63,962396,25
16:36:48,1.63,962396,25
16:36:49,1.64,961892,25
16:36:50,1.64,961492,25
16:36:51,1.64,962204,25
16:36:52,1.64,961388,25
16:36:53,1.64,962100,25
16:36:54,1.64,961640,25
16:36:55,1.64,962248,25
16:36:56,1.64,961744,25
16:36:57,1.64,961388,25
16:36:58,1.64,961640,25
16:36:59,1.66,961892,25
16:37:01,1.66,961996,25
16:37:02,1.66,961744,25
16:37:03,1.66,961640,25
16:37:04,1.65,961892,25
16:37:05,1.65,962500,25
16:37:06,1.65,962500,25
16:37:07,1.65,962248,25
16:37:08,1.65,962500,25
16:37:09,1.64,962396,25
16:37:10,1.64,962144,25
16:37:11,1.64,962144,25
16:37:12,1.64,962144,25
16:37:13,1.67,962396,25
16:37:15,1.67,962648,25
16:37:16,1.67,962396,25
16:37:17,1.67,962648,25
16:37:18,1.67,962144,25
16:37:19,1.67,962396,25
16:37:20,1.67,963404,25
16:37:21,1.67,962752,25
16:37:22,1.67,962396,25
16:37:23,1.67,962248,25
16:37:24,1.66,962144,25
16:37:25,1.66,962144,25
16:37:26,1.66,962648,25
16:37:27,1.66,962900,25
16:37:28,1.65,963404,25
16:37:30,1.65,963404,25
16:37:31,1.65,963656,25
16:37:32,1.65,963256,25
16:37:33,1.65,963508,25
