时间,CPU负载,内存使用量(KB),内存使用率(%)
19:37:59,1.63,972240,25
19:38:00,1.63,972744,25
19:38:02,1.63,973248,25
19:38:03,1.63,973280,25
19:38:04,1.63,973280,25
19:38:05,1.63,973532,25
19:38:06,1.64,973088,25
19:38:07,1.64,972880,25
19:38:08,1.64,973952,25
19:38:09,1.64,974604,25
19:38:10,1.64,974560,25
19:38:11,1.65,974856,25
19:38:12,1.65,974856,25
19:38:13,1.65,974856,25
19:38:14,1.65,974100,25
19:38:16,1.65,973952,25
19:38:17,1.67,974352,25
19:38:18,1.67,974856,25
19:38:19,1.67,974856,25
19:38:20,1.67,974960,25
19:38:21,1.67,974960,25
19:38:22,1.67,974960,25
19:38:23,1.67,975612,25
19:38:24,1.67,975360,25
19:38:25,1.67,975464,25
19:38:26,1.66,975968,25
19:38:27,1.66,975612,25
19:38:28,1.66,975612,25
19:38:30,1.66,975360,25
19:38:31,1.66,975968,25
19:38:32,1.67,975864,25
19:38:33,1.67,975820,25
19:38:34,1.67,976116,25
19:38:35,1.67,975864,25
19:38:36,1.66,976072,25
19:38:37,1.66,976976,25
19:38:38,1.66,976220,25
19:38:39,1.66,977080,25
19:38:40,1.66,976576,25
19:38:41,1.65,976576,25
19:38:42,1.65,976724,25
19:38:43,1.65,977124,25
19:38:45,1.65,976504,25
19:38:46,1.65,976652,25
19:38:47,1.70,976164,25
19:38:48,1.70,976756,25
19:38:49,1.70,976356,25
19:38:50,1.70,976504,25
19:38:51,1.69,976252,25
19:38:52,1.69,977156,25
19:38:53,1.69,977260,25
19:38:54,1.69,977112,25
19:38:55,1.69,976860,25
19:38:56,1.68,976356,25
19:38:57,1.68,976504,25
19:38:59,1.68,976400,25
19:39:00,1.68,976400,25
19:39:01,1.68,976504,25
19:39:02,1.68,976400,25
19:39:03,1.68,976252,25
19:39:04,1.68,976356,25
19:39:05,1.68,976252,25
19:39:06,1.69,976652,25
19:39:07,1.69,977156,25
19:39:08,1.69,976756,25
19:39:09,1.69,976652,25
19:39:10,1.69,976756,25
19:39:11,1.70,976904,25
19:39:12,1.70,976400,25
19:39:14,1.70,976904,25
19:39:15,1.70,976904,25
19:39:16,1.70,976608,25
19:39:17,1.70,976756,25
19:39:18,1.70,976904,25
19:39:19,1.70,977112,25
19:39:20,1.70,976904,25
19:39:21,1.71,976860,25
19:39:22,1.71,977156,25
19:39:23,1.71,977156,25
19:39:24,1.71,977260,25
19:39:25,1.71,976860,25
19:39:26,1.71,977008,25
19:39:28,1.71,977156,25
19:39:29,1.71,977008,25
19:39:30,1.71,976652,25
19:39:31,1.73,976504,25
19:39:32,1.73,976652,25
19:39:33,1.73,977260,25
19:39:34,1.73,976904,25
19:39:35,1.73,976756,25
19:39:36,1.74,976756,25
19:39:37,1.74,977008,25
19:39:38,1.74,976148,25
19:39:39,1.74,976252,25
19:39:40,1.74,977156,25
19:39:41,1.74,976756,25
19:39:43,1.74,977008,25
19:39:44,1.74,977188,25
19:39:45,1.74,977440,25
19:39:46,1.75,976996,25
19:39:47,1.75,977188,25
19:39:48,1.75,976640,25
19:39:49,1.75,976180,25
19:39:50,1.75,977144,25
19:39:51,1.73,976432,25
19:39:52,1.73,975928,25
19:39:53,1.73,976996,25
19:39:54,1.73,977040,25
19:39:55,1.73,977144,25
