时间,CPU负载,内存使用量(KB),内存使用率(%)
2024-05-02 13:22:37,1.71 1.68 1.31,823756,21
2024-05-02 13:22:38,1.65 1.67 1.30,823904,21
2024-05-02 13:22:39,1.65 1.67 1.30,824112,21
2024-05-02 13:22:40,1.65 1.67 1.30,824260,21
2024-05-02 13:22:41,1.65 1.67 1.30,823904,21
2024-05-02 13:22:43,1.65 1.67 1.30,824156,21
2024-05-02 13:22:44,1.60 1.66 1.30,824512,21
2024-05-02 13:22:45,1.60 1.66 1.30,824008,21
2024-05-02 13:22:46,1.60 1.66 1.30,824408,21
2024-05-02 13:22:47,1.60 1.66 1.30,824512,21
2024-05-02 13:22:48,1.55 1.65 1.30,824616,21
2024-05-02 13:22:49,1.55 1.65 1.30,824408,21
2024-05-02 13:22:50,1.55 1.65 1.30,824008,21
2024-05-02 13:22:51,1.55 1.65 1.30,824008,21
2024-05-02 13:22:52,1.55 1.65 1.30,824260,21
2024-05-02 13:22:53,1.51 1.64 1.30,824364,21
2024-05-02 13:22:54,1.51 1.64 1.30,824260,21
2024-05-02 13:22:55,1.51 1.64 1.30,824512,21
2024-05-02 13:22:56,1.51 1.64 1.30,824912,21
2024-05-02 13:22:57,1.51 1.64 1.30,824156,21
2024-05-02 13:22:59,1.47 1.62 1.30,824408,21
2024-05-02 13:23:00,1.47 1.62 1.30,823904,21
2024-05-02 13:23:01,1.47 1.62 1.30,824644,21
2024-05-02 13:23:02,1.47 1.62 1.30,824008,21
2024-05-02 13:23:03,1.51 1.63 1.30,824512,21
2024-05-02 13:23:04,1.51 1.63 1.30,823860,21
2024-05-02 13:23:05,1.51 1.63 1.30,824512,21
2024-05-02 13:23:06,1.51 1.63 1.30,824660,21
2024-05-02 13:23:07,1.51 1.63 1.30,824156,21
2024-05-02 13:23:08,1.55 1.64 1.30,824408,21
2024-05-02 13:23:09,1.55 1.64 1.30,824408,21
2024-05-02 13:23:10,1.55 1.64 1.30,824660,21
2024-05-02 13:23:11,1.55 1.64 1.30,824408,21
2024-05-02 13:23:12,1.55 1.64 1.30,825268,21
2024-05-02 13:23:13,1.59 1.64 1.31,825016,21
2024-05-02 13:23:14,1.59 1.64 1.31,825164,21
2024-05-02 13:23:16,1.59 1.64 1.31,824912,21
2024-05-02 13:23:17,1.59 1.64 1.31,825016,21
2024-05-02 13:23:18,1.59 1.64 1.31,824660,21
