时间,CPU负载,内存使用量(KB),内存使用率(%)
13:22:37,1.68,823756,21
13:22:38,1.67,823904,21
13:22:39,1.67,824112,21
13:22:40,1.67,824260,21
13:22:41,1.67,823904,21
13:22:43,1.67,824156,21
13:22:44,1.66,824512,21
13:22:45,1.66,824008,21
13:22:46,1.66,824408,21
13:22:47,1.66,824512,21
13:22:48,1.65,824616,21
13:22:49,1.65,824408,21
13:22:50,1.65,824008,21
13:22:51,1.65,824008,21
13:22:52,1.65,824260,21
13:22:53,1.64,824364,21
13:22:54,1.64,824260,21
13:22:55,1.64,824512,21
13:22:56,1.64,824912,21
13:22:57,1.64,824156,21
13:22:59,1.62,824408,21
13:23:00,1.62,823904,21
13:23:01,1.62,824644,21
13:23:02,1.62,824008,21
13:23:03,1.63,824512,21
13:23:04,1.63,823860,21
13:23:05,1.63,824512,21
13:23:06,1.63,824660,21
13:23:07,1.63,824156,21
13:23:08,1.64,824408,21
13:23:09,1.64,824408,21
13:23:10,1.64,824660,21
13:23:11,1.64,824408,21
13:23:12,1.64,825268,21
13:23:13,1.64,825016,21
13:23:14,1.64,825164,21
13:23:16,1.64,824912,21
13:23:17,1.64,825016,21
13:23:18,1.64,824660,21
13:23:19,1.68,824408,21
13:23:20,1.68,824408,21
13:23:21,1.68,824512,21
13:23:22,1.68,824764,21
13:23:23,1.69,824408,21
13:23:24,1.69,824512,21
13:23:25,1.69,824008,21
13:23:26,1.69,824008,21
13:23:27,1.69,824512,21
13:23:28,1.69,824660,21
13:23:29,1.69,824408,21
13:23:30,1.69,824260,21
13:23:32,1.69,825016,21
13:23:33,1.69,824764,21
13:23:34,1.72,824616,21
13:23:35,1.72,824764,21
13:23:36,1.72,825164,21
13:23:37,1.72,825668,21
13:23:38,1.72,825016,21
13:23:39,1.72,824616,21
13:23:40,1.72,825016,21
13:23:41,1.72,824780,21
13:23:42,1.72,824660,21
13:23:43,1.71,824912,21
13:23:44,1.71,824912,21
13:23:45,1.71,824660,21
13:23:46,1.71,824972,21
13:23:48,1.71,824408,21
13:23:49,1.70,824364,21
13:23:50,1.70,825016,21
13:23:51,1.70,824972,21
13:23:52,1.70,825016,21
13:23:53,1.68,825416,21
13:23:54,1.68,825016,21
13:23:55,1.68,824868,21
13:23:56,1.68,824912,21
13:23:57,1.68,825016,21
13:23:58,1.67,825016,21
13:23:59,1.67,824912,21
13:24:00,1.67,823252,21
13:24:01,1.67,823000,21
13:24:02,1.67,822852,21
13:24:04,1.66,823400,21
13:24:05,1.66,823504,21
13:24:06,1.66,823400,21
13:24:07,1.66,824156,21
13:24:08,1.65,823400,21
13:24:09,1.65,823904,21
13:24:10,1.65,823356,21
13:24:11,1.65,823120,21
13:24:12,1.65,823876,21
13:24:13,1.64,823772,21
13:24:14,1.64,823772,21
13:24:15,1.64,823520,21
13:24:16,1.64,823668,21
13:24:17,1.64,823624,21
13:24:18,1.63,823772,21
13:24:19,1.63,823876,21
13:24:21,1.63,824172,21
13:24:22,1.63,823668,21
13:24:23,1.63,823920,21
13:24:24,1.65,824024,21
13:24:25,1.65,823668,21
13:24:26,1.65,823668,21
13:24:27,1.65,823520,21
13:24:28,1.66,824024,21
13:24:29,1.66,823772,21
13:24:30,1.66,823668,21
13:24:31,1.66,823772,21
13:24:32,1.66,823920,21
13:24:33,1.66,824276,21
13:24:34,1.66,824128,21
13:24:35,1.66,824024,21
13:24:37,1.66,823284,21
13:24:38,1.66,823980,21
13:24:39,1.67,823624,21
13:24:40,1.67,823668,21
13:24:41,1.67,824128,21
13:24:42,1.67,823772,21
13:24:43,1.68,824024,21
13:24:44,1.68,823876,21
13:24:45,1.68,823772,21
13:24:46,1.68,824380,21
13:24:47,1.68,823520,21
13:24:48,1.68,824024,21
13:24:49,1.68,823416,21
13:24:50,1.68,823520,21
13:24:51,1.68,823164,21
13:24:53,1.68,823164,21
13:24:54,1.69,823328,21
13:24:55,1.69,823416,21
13:24:56,1.69,823624,21
13:24:57,1.69,823920,21
13:24:58,1.69,823520,21
13:24:59,1.69,823772,21
13:25:00,1.69,823640,21
13:25:01,1.69,824188,21
13:25:02,1.69,823848,21
13:25:03,1.68,823684,21
13:25:04,1.68,823936,21
13:25:05,1.68,823936,21
13:25:06,1.68,823848,21
13:25:07,1.68,823936,21
13:25:09,1.69,823684,21
13:25:10,1.69,823788,21
13:25:11,1.69,823936,21
13:25:12,1.69,823996,21
13:25:13,1.69,824292,21
13:25:14,1.69,824188,21
13:25:15,1.69,824188,21
13:25:16,1.69,823892,21
13:25:17,1.69,823432,21
13:25:18,1.68,823788,21
13:25:19,1.68,823432,21
13:25:20,1.68,824440,21
13:25:21,1.68,824544,21
13:25:22,1.68,824292,21
13:25:23,1.67,824396,21
13:25:24,1.67,824292,21
13:25:26,1.67,824544,21
13:25:27,1.67,824440,21
13:25:28,1.67,824292,21
13:25:29,1.66,823936,21
13:25:30,1.66,824040,21
13:25:31,1.66,824040,21
13:25:32,1.66,824144,21
13:25:33,1.66,824796,21
13:25:34,1.66,824188,21
13:25:35,1.66,824188,21
13:25:36,1.66,823892,21
13:25:37,1.66,824188,21
13:25:38,1.65,823788,21
13:25:39,1.65,824040,21
13:25:40,1.65,824440,21
13:25:42,1.65,824188,21
13:25:43,1.65,823936,21
13:25:44,1.66,824188,21
13:25:45,1.66,824292,21
13:25:46,1.66,824944,21
13:25:47,1.66,824692,21
13:25:48,1.66,824692,21
13:25:49,1.66,824188,21
13:25:50,1.66,824544,21
13:25:51,1.66,824440,21
13:25:52,1.66,824188,21
13:25:53,1.67,824544,21
13:25:54,1.67,824440,21
13:25:55,1.67,824692,21
13:25:56,1.67,823892,21
13:25:58,1.67,823936,21
13:25:59,1.67,824040,21
13:26:00,1.67,824752,21
13:26:01,1.67,824916,21
13:26:02,1.67,824456,21
13:26:03,1.68,824664,21
13:26:04,1.68,824708,21
13:26:05,1.68,824664,21
13:26:06,1.68,824916,21
13:26:07,1.68,824664,21
13:26:08,1.69,824960,21
13:26:09,1.69,825316,21
13:26:10,1.69,825064,21
13:26:11,1.69,824960,21
13:26:12,1.69,824960,21
13:26:14,1.69,824308,21
13:26:15,1.69,824056,21
13:26:16,1.69,823656,21
13:26:17,1.69,823804,21
13:26:18,1.69,823968,21
13:26:19,1.78,824056,21
13:26:20,1.78,824204,21
13:26:21,1.78,824456,21
13:26:22,1.78,824412,21
13:26:23,1.77,824708,21
13:26:24,1.77,824204,21
13:26:25,1.77,824204,21
13:26:26,1.77,823804,21
13:26:27,1.77,824812,21
13:26:28,1.75,824960,21
13:26:29,1.75,824516,21
13:26:31,1.75,824664,21
13:26:32,1.75,824916,21
13:26:33,1.75,824708,21
13:26:34,1.74,824560,21
13:26:35,1.74,824160,21
13:26:36,1.74,825212,21
13:26:37,1.74,824560,21
13:26:38,1.73,824308,21
13:26:39,1.73,824412,21
13:26:40,1.73,824308,21
13:26:41,1.73,824560,21
13:26:42,1.73,823700,21
13:26:43,1.72,824708,21
13:26:44,1.72,824368,21
13:26:45,1.72,823952,21
13:26:47,1.72,824204,21
13:26:48,1.72,824708,21
13:26:49,1.70,824708,21
13:26:50,1.70,825064,21
13:26:51,1.70,825064,21
13:26:52,1.70,824708,21
13:26:53,1.69,824812,21
13:26:54,1.69,825168,21
13:26:55,1.69,825464,21
13:26:56,1.69,824560,21
13:26:57,1.69,824456,21
13:26:58,1.70,823952,21
13:26:59,1.70,824204,21
13:27:00,1.70,823952,21
13:27:01,1.70,824960,21
13:27:02,1.70,825212,21
13:27:04,1.70,825168,21
13:27:05,1.70,824708,21
13:27:06,1.70,824812,21
13:27:07,1.70,824812,21
13:27:08,1.70,824812,21
13:27:09,1.77,824960,21
13:27:10,1.77,824560,21
13:27:11,1.77,825064,21
13:27:12,1.77,824560,21
13:27:13,1.78,824560,21
13:27:14,1.78,824560,21
13:27:15,1.78,824708,21
13:27:16,1.78,824960,21
13:27:17,1.78,824560,21
13:27:18,1.78,824560,21
13:27:20,1.78,824708,21
13:27:21,1.78,824960,21
13:27:22,1.78,825064,21
13:27:23,1.78,824960,21
13:27:24,1.79,824812,21
13:27:25,1.79,825020,21
13:27:26,1.79,825212,21
13:27:27,1.79,825212,21
13:27:28,1.79,824812,21
13:27:29,1.79,825464,21
13:27:30,1.79,825064,21
13:27:31,1.79,824708,21
13:27:32,1.79,824960,21
13:27:33,1.81,825464,21
13:27:34,1.81,824560,21
13:27:36,1.81,824664,21
13:27:37,1.81,824708,21
13:27:38,1.81,824560,21
13:27:39,1.81,824708,21
13:27:40,1.81,824916,21
13:27:41,1.81,824560,21
13:27:42,1.81,824456,21
13:27:43,1.80,824456,21
13:27:44,1.80,824308,21
13:27:45,1.80,825064,21
13:27:46,1.80,824812,21
13:27:47,1.80,825168,21
13:27:48,1.80,824812,21
13:27:49,1.80,825064,21
13:27:50,1.80,825168,21
13:27:51,1.80,825212,21
13:27:53,1.80,825316,21
13:27:54,1.79,825316,21
13:27:55,1.79,825212,21
13:27:56,1.79,825316,21
13:27:57,1.79,825212,21
13:27:58,1.79,825316,21
13:27:59,1.78,825212,21
13:28:00,1.78,825212,21
13:28:01,1.78,825568,21
13:28:02,1.78,825464,21
13:28:03,1.76,825716,21
13:28:04,1.76,825716,21
13:28:05,1.76,825568,21
13:28:06,1.76,825212,21
13:28:07,1.76,825924,21
13:28:09,1.75,825716,21
13:28:10,1.75,825464,21
13:28:11,1.75,825524,21
13:28:12,1.75,825316,21
13:28:13,1.75,825420,21
13:28:14,1.77,825480,21
13:28:15,1.77,825568,21
13:28:16,1.77,825924,21
13:28:17,1.77,825716,21
13:28:18,1.76,825464,21
13:28:19,1.76,825420,21
13:28:20,1.76,826072,21
13:28:21,1.76,825716,21
13:28:22,1.76,825820,21
13:28:23,1.76,825212,21
13:28:25,1.76,825568,21
13:28:26,1.76,825212,21
13:28:27,1.76,825464,21
13:28:28,1.76,825212,21
13:28:29,1.77,825820,21
13:28:30,1.77,825820,21
13:28:31,1.77,825716,21
13:28:32,1.77,825464,21
13:28:33,1.77,825716,21
13:28:34,1.77,825968,21
13:28:35,1.77,825820,21
13:28:36,1.77,825464,21
13:28:37,1.77,825464,21
13:28:38,1.77,825064,21
13:28:39,1.77,825716,21
13:28:41,1.77,825272,21
13:28:42,1.77,825716,21
13:28:43,1.77,825376,21
13:28:44,1.78,825968,21
13:28:45,1.78,825464,21
13:28:46,1.78,825524,21
13:28:47,1.78,825568,21
13:28:48,1.78,825464,21
13:28:49,1.78,825524,21
13:28:50,1.78,825820,21
13:28:51,1.78,825464,21
13:28:52,1.78,824812,21
13:28:53,1.79,825464,21
13:28:54,1.79,825064,21
13:28:55,1.79,824812,21
13:28:56,1.79,825064,21
13:28:58,1.79,825212,21
13:28:59,1.79,825316,21
13:29:00,1.79,826220,21
13:29:01,1.79,826072,21
13:29:02,1.79,825924,21
13:29:03,1.79,826072,21
13:29:04,1.84,825584,21
13:29:05,1.84,825820,21
13:29:06,1.84,826220,21
13:29:07,1.84,826324,21
13:29:08,1.83,825716,21
13:29:09,1.83,825776,21
13:29:10,1.83,826324,21
13:29:11,1.83,825820,21
13:29:12,1.83,825820,21
13:29:14,1.82,825568,21
13:29:15,1.82,826072,21
13:29:16,1.82,825716,21
13:29:17,1.82,826072,21
13:29:18,1.82,825716,21
13:29:19,1.80,825568,21
13:29:20,1.80,825716,21
13:29:21,1.80,825820,21
13:29:22,1.80,825968,21
13:29:23,1.79,826072,21
13:29:24,1.79,825968,21
13:29:25,1.79,825820,21
13:29:26,1.79,825716,21
13:29:27,1.79,826072,21
13:29:28,1.78,825568,21
13:29:30,1.78,825968,21
13:29:31,1.78,825672,21
13:29:32,1.78,825568,21
13:29:33,1.78,825464,21
13:29:34,1.76,826472,21
13:29:35,1.76,825820,21
13:29:36,1.76,826324,21
13:29:37,1.76,825820,21
13:29:38,1.75,826192,21
13:29:39,1.75,825480,21
13:29:40,1.75,825732,21
13:29:41,1.75,826236,21
13:29:42,1.75,825732,21
13:29:43,1.75,825480,21
13:29:44,1.75,825480,21
13:29:45,1.75,825332,21
13:29:47,1.75,825836,21
13:29:48,1.75,825540,21
13:29:49,1.76,825584,21
13:29:50,1.76,825732,21
13:29:51,1.76,825332,21
13:29:52,1.76,825584,21
13:29:53,1.76,826236,21
13:29:54,1.78,826444,21
13:29:55,1.78,826340,21
13:29:56,1.78,826340,21
13:29:57,1.78,826088,21
13:29:58,1.80,825644,21
13:29:59,1.80,825732,21
13:30:00,1.80,825984,21
13:30:01,1.80,825836,21
13:30:03,1.80,825584,21
13:30:04,1.80,826192,21
13:30:05,1.80,825984,21
13:30:06,1.80,826088,21
13:30:07,1.80,826488,21
13:30:08,1.80,826236,21
13:30:09,1.82,826592,21
13:30:10,1.82,825984,21
13:30:11,1.82,826148,21
13:30:12,1.82,825732,21
13:30:13,1.83,825984,21
13:30:14,1.83,826740,21
13:30:15,1.83,826548,21
13:30:16,1.83,826740,21
13:30:17,1.83,826444,21
13:30:19,1.83,826444,21
13:30:20,1.83,826192,21
13:30:21,1.83,826088,21
13:30:22,1.83,826192,21
13:30:23,1.83,826236,21
13:30:24,1.82,826444,21
13:30:25,1.82,826488,21
13:30:26,1.82,826340,21
13:30:27,1.82,826148,21
13:30:28,1.80,826236,21
13:30:29,1.80,826044,21
13:30:30,1.80,826192,21
13:30:31,1.80,826444,21
13:30:32,1.80,826236,21
13:30:33,1.79,826088,21
13:30:35,1.79,826340,21
13:30:36,1.79,826340,21
13:30:37,1.79,825836,21
13:30:38,1.79,825688,21
13:30:39,1.77,826236,21
13:30:40,1.77,826088,21
13:30:41,1.77,825584,21
13:30:42,1.77,826236,21
13:30:43,1.76,826236,21
13:30:44,1.76,826488,21
13:30:45,1.76,826592,21
13:30:46,1.76,826340,21
13:30:47,1.76,826740,21
13:30:48,1.77,826844,21
13:30:49,1.77,826340,21
13:30:51,1.77,826740,21
13:30:52,1.77,826236,21
13:30:53,1.77,826236,21
13:30:54,1.75,826088,21
13:30:55,1.75,825732,21
13:30:56,1.75,825984,21
13:30:57,1.75,825688,21
13:30:58,1.75,825688,21
13:30:59,1.81,826488,21
13:31:00,1.81,826444,21
13:31:01,1.81,826488,21
13:31:02,1.81,826088,21
13:31:03,1.81,826488,21
13:31:04,1.81,826488,21
13:31:05,1.81,826236,21
13:31:06,1.81,826236,21
13:31:08,1.81,826592,21
13:31:09,1.81,826696,21
13:31:10,1.81,826088,21
13:31:11,1.81,826444,21
13:31:12,1.81,826252,21
13:31:13,1.81,826592,21
13:31:14,1.82,826444,21
13:31:15,1.82,826488,21
13:31:16,1.82,826740,21
13:31:17,1.82,826488,21
13:31:18,1.82,826740,21
13:31:19,1.82,825984,21
13:31:20,1.82,826236,21
13:31:21,1.82,826192,21
13:31:22,1.82,826548,21
13:31:24,1.82,826236,21
13:31:25,1.82,825984,21
13:31:26,1.82,825836,21
13:31:27,1.82,825584,21
13:31:28,1.82,825584,21
13:31:29,1.83,828444,21
13:31:30,1.83,828800,21
