Gossip Runtime,Num. of Events,Num. of Consensus Events
0.07,1,0
3.556,56,44
6.336,116,95
9.139,180,166
11.993,240,209
14.903,300,271
17.673,361,336
20.466,419,406
23.243,479,457
26.139,537,527
29.116,603,569
32.163,661,643
35.013,721,699
37.859,779,756
40.696,841,818
44.849,898,882
47.647,960,942
50.443,1013,990
53.356,1081,1060
56.196,1138,1120
59.063,1204,1190
61.926,1258,1245
64.649,1321,1299
67.48,1383,1365
70.289,1443,1426
73.166,1503,1492
76.006,1561,1547
78.819,1622,1613
81.683,1681,1668
84.466,1739,1724
87.243,1800,1778
90.109,1859,1843
92.97,1924,1902
95.803,1981,1959
98.609,2041,2023
101.429,2103,2088
104.207,2161,2145
107.053,2220,2203
109.846,2282,2266
112.736,2333,2315
115.736,2398,2374
119.606,2457,2434
122.513,2512,2500
125.313,2571,2554
128.093,2636,2622
130.869,2696,2685
133.573,2759,2738
136.386,2817,2808
139.123,2878,2860
141.899,2934,2910
144.653,2997,2982
147.476,3057,3048
150.423,3116,3109
153.169,3178,3158
156.056,3230,3220
158.843,3295,3278
161.563,3348,3328
164.523,3412,3398
167.372,3472,3461
170.172,3526,3517
172.919,3593,3570
175.859,3655,3644
178.693,3715,3697
181.82,3772,3756
184.713,3825,3801
187.586,3893,3869
190.299,3949,3929
193.086,4011,3998
206.089,4073,4057
208.906,4131,4117
211.783,4191,4177
214.623,4249,4225
217.46,4311,4287
220.313,4373,4349
223.073,4427,4410
225.839,4487,4475
228.593,4552,4537
231.389,4615,4600
234.106,4669,4643
236.832,4728,4707
239.579,4793,4779
242.263,4849,4830
244.956,4914,4899
247.743,4973,4953
249.269,5004,4992
250.536,5032,5003
253.373,5091,5074
256.123,5149,5123
258.792,5210,5198
261.703,5264,5243
264.416,5328,5302
267.176,5389,5370
269.986,5448,5435
272.716,5507,5492
275.516,5569,5549
278.273,5629,5607
280.966,5686,5671
283.81,5748,5732
286.552,5804,5791
289.339,5866,5854
292.153,5926,5913
294.976,5984,5969
297.716,6042,6024
300.536,6101,6083
303.256,6164,6140
306.056,6223,6209
308.819,6285,6262
311.699,6340,6322
314.583,6404,6387
317.346,6464,6445
320.073,6523,6506
322.846,6580,6568
325.653,6642,6624
328.526,6698,6676
331.326,6760,6747
339.416,6820,6804
352.612,6879,6869
355.526,6935,6920
394.143,6998,6975
396.966,7058,7047
399.726,7118,7100
402.516,7174,7162
405.323,7234,7212
408.049,7293,7281
410.876,7351,7329
413.656,7411,7389
416.48,7470,7452
419.259,7533,7521
421.982,7590,7574
424.752,7651,7625
427.633,7712,7695
430.466,7771,7757
433.219,7826,7816
436.039,7889,7869
438.819,7951,7942
441.639,8005,7996
444.476,8066,8055
447.252,8130,8119
450.003,8189,8162
452.793,8250,8235
455.606,8308,8294
458.426,8367,8346
461.136,8418,8410
464.063,8486,8470
466.943,8545,8516
469.703,8609,8594
472.549,8659,8638
475.329,8723,8702
478.243,8790,8771
481.089,8847,8826
483.876,8909,8885
486.706,8966,8958
489.653,9026,9016
492.506,9086,9056
495.359,9145,9127
498.283,9206,9191
501.206,9268,9247
503.986,9327,9305
506.806,9384,9368
509.676,9447,9427
512.562,9504,9492
515.423,9561,9542
518.302,9628,9599
521.203,9689,9671
524.029,9748,9739
526.896,9807,9777
529.729,9868,9851
532.563,9924,9903
535.436,9988,9968
538.299,10048,10023
541.216,10108,10091
544.019,10168,10148
546.796,10227,10207
549.7,10287,10266
552.476,10349,10326
555.309,10408,10388
558.103,10463,10435
560.923,10523,10507
563.743,10589,10568
566.569,10645,10631
569.536,10705,10686
573.416,10767,10755
576.259,10826,10810
579.083,10888,10866
581.963,10944,10929
584.836,11008,10985
587.676,11068,11049
590.457,11128,11106
593.296,11184,11160
596.076,11243,11223
598.849,11302,11288
609.163,11363,11346
612.546,11420,11408
615.449,11477,11462
618.332,11540,11523
621.126,11601,11585
623.899,11657,11631
626.719,11723,11702
629.506,11783,11762
632.343,11839,11828
635.296,11903,11892
638.113,11961,11934
641.119,12023,12006
644.076,12082,12068
646.909,12140,12130
649.823,12200,12189
